Nom_Barri,Activitats immobiliàries,Altres,Automoció,Ensenyament,Equipament personal,Equipaments culturals i recreatius,Finances i assegurances,Grup no definit,"Manteniment, neteja i producció",Oci i cultura,Parament de la llar,Quotidià alimentari,Quotidià no alimentari,Reparacions (Electrodomèstics i automòbils),"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",Sanitat i assistència
Baró de Viver,0,11,0,4,0,3,0,44,0,0,1,5,2,0,6,1
Can Baró,0,63,0,3,2,2,1,171,0,2,2,24,11,7,19,2
Can Peguera,0,9,0,3,0,2,0,23,0,0,0,1,2,0,2,2
Canyelles,1,23,1,5,2,2,3,69,1,0,1,34,9,5,18,1
Ciutat Meridiana,1,37,0,6,5,1,8,78,0,3,3,30,7,3,18,3
Diagonal Mar i el Front Marítim del Poblenou,5,124,0,18,74,6,9,66,2,11,7,36,22,3,127,12
Horta,14,283,0,32,70,14,12,352,5,24,36,144,54,17,108,27
Hostafrancs,12,265,3,20,65,10,15,218,5,20,33,135,34,12,159,25
Montbau,2,30,0,10,1,2,4,62,1,1,0,10,7,1,16,12
Navas,12,194,7,14,25,4,6,163,5,16,42,70,22,28,96,15
Pedralbes,3,101,0,43,12,4,11,30,2,5,5,20,11,0,38,6
Porta,7,306,4,31,57,10,14,395,8,23,33,94,31,27,105,19
Provençals del Poblenou,6,224,5,23,8,4,9,305,3,11,13,34,24,21,90,18
Sant Andreu,31,718,6,93,112,21,37,520,23,45,64,211,81,44,243,86
Sant Antoni,36,501,6,44,209,28,33,281,12,103,95,282,97,33,417,47
Sant Genís dels Agudells,0,29,0,8,3,3,4,40,1,2,3,10,8,5,15,5
Sant Gervasi - Galvany,52,859,28,62,419,21,71,470,3,56,163,287,99,31,457,122
Sant Gervasi - la Bonanova,18,406,12,70,107,9,30,201,4,19,41,104,34,15,144,84
Sant Martí de Provençals,15,230,3,36,30,14,9,207,12,14,24,112,32,14,101,27
"Sant Pere, Santa Caterina i la Ribera",17,539,1,39,284,56,17,481,0,22,52,210,56,2,394,12
Sants,33,631,10,59,114,19,33,631,11,54,53,224,65,45,273,56
Sants - Badal,15,297,2,11,44,6,20,353,6,14,36,80,31,27,109,23
Sarrià,26,396,6,63,97,19,16,188,1,18,32,116,36,18,94,58
Torre Baró,0,11,0,3,0,1,0,11,0,0,0,4,0,0,4,3
Vallbona,0,11,0,1,0,1,0,4,0,0,0,4,2,2,2,0
Vallcarca i els Penitents,3,139,5,31,12,7,5,177,1,5,15,39,23,20,40,20
"Vallvidrera, el Tibidabo i les Planes",2,30,0,3,0,5,3,8,0,0,2,9,4,1,11,3
Verdun,7,146,1,15,39,3,12,262,1,7,32,57,21,13,50,9
Vilapicina i la Torre Llobeta,14,325,11,42,42,9,21,463,6,25,46,91,37,40,118,38
el Baix Guinardó,12,236,6,27,30,8,15,307,8,15,23,75,23,37,108,26
el Barri Gòtic,3,521,1,17,443,63,30,394,0,54,46,106,74,0,513,4
el Besòs i el Maresme,5,159,1,15,12,7,8,148,1,7,11,106,24,7,86,12
el Bon Pastor,3,258,26,8,96,5,8,293,5,19,33,57,35,38,102,3
el Camp d'en Grassot i Gràcia Nova,24,491,12,46,87,14,26,360,2,47,67,248,62,54,136,53
el Camp de l'Arpa del Clot,22,501,7,37,63,13,23,451,19,28,50,152,64,41,204,42
el Carmel,19,245,0,23,31,5,15,569,6,16,31,149,38,20,74,18
el Clot,16,318,9,37,38,10,14,261,11,20,36,134,38,19,135,14
el Coll,1,38,0,1,3,2,4,122,0,1,3,18,4,2,7,3
el Congrés i els Indians,14,182,2,30,16,5,9,252,7,9,22,45,20,23,85,22
el Fort Pienc,14,484,18,29,58,22,16,199,1,34,72,136,53,33,209,23
el Guinardó,21,459,7,36,40,10,24,738,10,21,37,129,51,46,120,33
el Parc i la Llacuna del Poblenou,4,292,9,26,54,10,7,270,4,10,22,48,29,29,169,8
el Poble Sec,14,468,3,33,17,54,18,652,6,17,30,145,38,37,296,18
el Poblenou,24,580,9,66,65,29,26,309,13,41,42,165,52,32,301,50
el Putxet i el Farró,24,449,7,49,61,15,17,399,1,22,35,106,34,19,120,57
el Raval,10,713,1,52,191,62,36,558,0,133,84,484,81,9,540,14
el Turó de la Peira,9,131,0,10,32,2,4,206,0,5,10,124,22,7,52,13
l'Antiga Esquerra de l'Eixample,53,775,14,45,215,71,60,254,6,81,130,313,91,46,731,99
la Barceloneta,10,145,0,17,25,9,7,169,0,17,8,101,20,5,200,14
la Bordeta,5,196,3,27,9,11,13,219,3,5,11,54,19,17,62,11
la Clota,0,10,0,1,0,0,0,7,0,0,0,0,1,0,1,0
la Dreta de l'Eixample,64,989,18,97,549,79,110,426,15,140,195,366,162,43,921,105
la Font d'en Fargues,3,57,1,16,1,2,1,56,0,0,4,4,8,5,14,3
la Font de la Guatlla,1,91,1,11,0,2,1,128,1,2,3,29,10,7,34,4
la Guineueta,2,110,2,18,10,4,7,186,2,7,5,57,16,7,44,19
la Marina de Port,7,154,4,18,20,11,14,204,5,11,15,101,34,11,98,24
la Marina del Prat Vermell,0,137,12,2,0,0,1,54,2,2,2,3,3,21,12,0
la Maternitat i Sant Ramon,13,298,4,41,11,12,18,205,5,16,24,61,33,17,130,32
la Nova Esquerra de l'Eixample,35,748,32,68,113,31,41,348,12,64,107,228,81,70,443,90
la Prosperitat,13,325,2,21,36,8,15,276,4,18,32,105,34,33,131,23
la Sagrada Família,43,740,20,43,138,17,52,401,8,70,90,306,88,48,393,58
la Sagrera,10,234,3,35,22,17,15,222,3,10,31,124,33,19,108,22
la Salut,2,137,1,12,18,7,7,185,1,7,8,71,14,10,49,18
la Teixonera,2,68,3,4,2,3,2,198,0,1,4,53,11,9,27,3
la Trinitat Nova,0,24,0,4,1,4,1,38,2,1,0,26,6,2,11,4
la Trinitat Vella,2,69,0,8,3,6,3,216,3,2,1,27,11,4,31,2
la Vall d'Hebron,2,56,0,8,0,4,3,30,1,0,2,8,3,3,13,3
la Verneda i la Pau,11,384,8,23,32,9,14,350,22,13,25,140,42,33,116,23
la Vila Olímpica del Poblenou,10,147,2,26,9,4,11,75,1,7,2,26,10,7,111,9
la Vila de Gràcia,36,1178,5,135,360,69,45,1180,7,108,154,371,146,50,505,108
les Corts,36,714,19,74,162,26,73,426,8,54,60,213,78,36,345,104
les Roquetes,3,85,0,8,8,7,8,310,0,3,8,99,16,13,43,6
les Tres Torres,16,162,3,19,4,2,17,72,3,6,12,60,18,2,53,91
